"04X","15E","R","20180401",""
"05A","B2M3M","R","20210401",""
"05C","D2P2L","R","20210401",""
"05F","18C","R","20200401",""
"05FAA","18CAE","R","20200401",""
"05H","B2M3M","R","20210401",""
"05J","18C","R","20200401",""
"05JAE","18CAD","R","20200401","X"
"05L","D2P2L","R","20210401",""
"05N","M2L0M","R","20210401",""
"05P","15E","R","20180401",""
"05R","B2M3M","R","20210401",""
"05T","18C","R","20200401",""
"05TAC","18CAF","R","20200401",""
"05TAD","18CAG","R","20200401",""
"05TAH","18CAC","R","20200401",""
"05X","M2L0M","R","20210401",""
"05Y","D2P2L","R","20210401",""
"06A","D2P2L","R","20210401",""
"06D","18C","R","20200401",""
"06F","M1J4Y","R","20210401",""
"06M","26A","R","20200401",""
"06P","M1J4Y","R","20210401",""
"06V","26A","R","20200401",""
"06W","26A","R","20200401",""
"06Y","26A","R","20200401",""
"07J","26A","R","20200401",""
"07L","A3A8R","R","20210401",""
"07M","93C","R","20200401",""
"07N","72Q","R","20200401",""
"07P","W2U3Z","R","20210401",""
"07Q","72Q","R","20200401",""
"07R","93C","R","20200401",""
"07T","A3A8R","R","20210401",""
"07V","36L","R","20200401",""
"07W","W2U3Z","R","20210401",""
"07X","93C","R","20200401",""
"07Y","W2U3Z","R","20210401",""
"08A","72Q","R","20200401",""
"08C","W2U3Z","R","20210401",""
"08D","93C","R","20200401",""
"08E","W2U3Z","R","20210401",""
"08F","A3A8R","R","20210401",""
"08G","W2U3Z","R","20210401",""
"08H","93C","R","20200401",""
"08J","36L","R","20200401",""
"08K","72Q","R","20200401",""
"08L","72Q","R","20200401",""
"08M","A3A8R","R","20210401",""
"08N","A3A8R","R","20210401",""
"08P","36L","R","20200401",""
"08Q","72Q","R","20200401",""
"08R","36L","R","20200401",""
"08T","36L","R","20200401",""
"08V","A3A8R","R","20210401",""
"08W","A3A8R","R","20210401",""
"08X","36L","R","20200401",""
"08Y","W2U3Z","R","20210401",""
"09A","W2U3Z","R","20210401",""
"09C","91Q","R","20200401",""
"09E","91Q","R","20200401",""
"09F","97R","R","20200401",""
"09G","70F","R","20200401",""
"09H","70F","R","20200401",""
"09J","91Q","R","20200401",""
"09L","92A","R","20200401",""
"09N","92A","R","20200401",""
"09P","97R","R","20200401",""
"09W","91Q","R","20200401",""
"09X","70F","R","20200401",""
"09Y","92A","R","20200401",""
"0AA","0DE","R","20150401",""
"0AC","0DF","R","20150401",""
"0AE","0DF","R","20150401",""
"0AF","0CE","R","20121001","F"
"0AG","0CH","R","20130314",""
"0AH","0CG","R","20130313","X"
"0AJ","0CY","R","20141001","F"
"0AK","0DE","R","20150401",""
"0AL","0CG","R","20130313","X"
"0AM","0DC","R","20141001","F"
"0AN","0CE","R","20121001","F"
"0AQ","0DJ","R","20170401","X"
"0AV","0DA","R","20141001","X"
"0AW","0DF","R","20150401",""
"0AX","0DC","R","20141001","F"
"0AY","0CF","R","20130313","F"
"0CA","0CH","R","20130314",""
"0CD","0CF","R","20130313","F"
"0CE","0CY","R","20141001","F"
"0CF","0DA","R","20141001","X"
"0CY","YDDTR","O","20160401",""
"0DC","0DJ","R","20170401","X"
"10A","91Q","R","20200401",""
"10C","D4U1Y","R","20210401",""
"10D","91Q","R","20200401",""
"10E","91Q","R","20200401",""
"10G","15D","R","20180401","F"
"10H","14Y","R","20180401",""
"10J","D9Y0V","R","20210401",""
"10K","D9Y0V","R","20210401",""
"10L","D9Y0V","R","20210401",""
"10M","15A","R","20180401",""
"10N","15A","R","20180401",""
"10T","15D","R","20180401","F"
"10V","D9Y0V","R","20210401",""
"10W","15A","R","20180401",""
"10X","D9Y0V","R","20210401",""
"10Y","14Y","R","20180401",""
"115","H6X4G","R","20230401",""
"11A","D9Y0V","R","20210401",""
"11C","15D","R","20180401","F"
"11D","15A","R","20180401",""
"11E","92G","R","20200401",""
"11H","15C","R","20180401",""
"11T","15C","R","20180401",""
"122","916","R","20200401",""
"124","W8X1Q","R","20230401",""
"12A","15C","R","20180401",""
"12D","92G","R","20200401",""
"12G","13Y","R","20150401","F"
"12H","13X","R","20150401","F"
"12J","13W","R","20150401","X"
"12J","14J","R","20160401","F"
"12K","14K","R","20160401","F"
"12K","13W","R","20150401","X"
